day,open,high,low,close,volume
2019-08-08,3.16,3.18,3.15,3.15,5752049
2019-08-09,3.16,3.19,3.11,3.15,6276345
2019-08-12,3.15,3.17,3.09,3.17,8527519
2019-08-13,3.12,3.19,3.11,3.15,6957827
2019-08-14,3.18,3.24,3.15,3.2,13750448
2019-08-15,3.11,3.19,3.1,3.17,11264622
2019-08-16,3.16,3.22,3.15,3.2,11549611
2019-08-19,3.38,3.38,3.29,3.36,28244003
2019-08-20,3.37,3.54,3.32,3.42,37886775
2019-08-21,3.39,3.76,3.36,3.7,76933862
2019-08-22,3.62,3.64,3.53,3.58,45504140
2019-08-23,3.56,3.68,3.51,3.61,35478321
2019-08-26,3.5,3.68,3.45,3.65,38811239
2019-08-27,3.66,3.77,3.61,3.63,46402048
2019-08-28,3.63,3.63,3.52,3.53,27248021
2019-08-29,3.51,3.56,3.51,3.52,16757575
2019-08-30,3.55,3.58,3.4,3.42,22329122
2019-09-02,3.4,3.52,3.4,3.49,18656602
2019-09-03,3.48,3.52,3.47,3.49,13949134
2019-09-04,3.49,3.53,3.46,3.52,16939947
2019-09-05,3.52,3.62,3.52,3.53,28492153
2019-09-06,3.54,3.57,3.51,3.52,16021469
2019-09-09,3.55,3.58,3.53,3.58,19984129
2019-09-10,3.58,3.64,3.53,3.64,35129256
2019-09-11,3.66,3.68,3.56,3.58,21149173
2019-09-12,3.59,3.63,3.55,3.61,13728934
2019-09-16,3.61,3.62,3.58,3.59,12791307
2019-09-17,3.57,3.57,3.44,3.47,21307839
2019-09-18,3.49,3.49,3.44,3.45,8669145
2019-09-19,3.45,3.47,3.42,3.47,8351994
2019-09-20,3.48,3.48,3.44,3.47,10462112
2019-09-23,3.47,3.47,3.38,3.42,10262623
2019-09-24,3.43,3.47,3.42,3.43,8602000
2019-09-25,3.41,3.41,3.35,3.36,9782460
2019-09-26,3.36,3.38,3.3,3.32,12384993
2019-09-27,3.32,3.35,3.3,3.33,5692400
2019-09-30,3.33,3.35,3.31,3.32,5391245
2019-10-08,3.31,3.37,3.31,3.35,6294990
2019-10-09,3.34,3.37,3.32,3.36,5722751
2019-10-10,3.36,3.39,3.35,3.39,8438155
2019-10-11,3.39,3.45,3.37,3.44,11592780
2019-10-14,3.49,3.54,3.46,3.49,15784146
2019-10-15,3.51,3.51,3.46,3.48,9203264
2019-10-16,3.49,3.51,3.43,3.45,9607649
2019-10-17,3.4,3.45,3.39,3.41,7195592
2019-10-18,3.43,3.47,3.35,3.37,10166933
2019-10-21,3.36,3.38,3.29,3.32,9016419
2019-10-22,3.31,3.35,3.31,3.34,6041188
2019-10-23,3.34,3.37,3.33,3.35,7137069
2019-10-24,3.35,3.35,3.3,3.34,7430569
2019-10-25,3.33,3.35,3.3,3.35,6679057
2019-10-28,3.36,3.39,3.35,3.39,10233410
2019-10-29,3.38,3.39,3.34,3.34,7663103
2019-10-30,3.34,3.34,3.3,3.33,8191221
2019-10-31,3.33,3.36,3.31,3.34,7623972
2019-11-01,3.34,3.38,3.32,3.37,7788447
2019-11-04,3.36,3.4,3.36,3.37,9787739
2019-11-05,3.36,3.4,3.33,3.38,9522851
2019-11-06,3.38,3.4,3.34,3.35,9755552
2019-11-07,3.35,3.44,3.34,3.43,14113554
2019-11-08,3.45,3.47,3.39,3.4,8967027
2019-11-11,3.37,3.37,3.28,3.3,9574081
2019-11-12,3.28,3.3,3.23,3.26,8142160
2019-11-13,3.29,3.31,3.25,3.28,6217276
2019-11-14,3.25,3.31,3.24,3.29,7480110
2019-11-15,3.27,3.3,3.25,3.26,6116290
2019-11-18,3.25,3.28,3.23,3.27,5680402
2019-11-19,3.27,3.32,3.25,3.32,6685370
