日期,收盘价,成交量,lev,pred,resid,resid_norm
2017-11-30,6263.420999999999,60883355.0,2742.12046636,5926.823821464308,336.59717853569146,0.05374014911909825
2017-11-29,6318.3684,76563915.0,2746.37599994,5933.422835480615,384.9455645193857,0.0609248369435669
2017-11-28,6299.3122,56478234.0,2746.89902667,5934.23388788034,365.07831211966004,0.057955265674823994
2017-11-27,6194.5522,59407491.0,2748.38412527,5936.536815654912,258.015384345088,0.04165198322892299
2017-11-24,6278.0287,59049056.0,2750.53943361,5939.879031073437,338.1496689265632,0.05386239615734207
2017-11-23,6274.5116,75009732.0,2760.90519693,5955.953118177316,318.55848182268346,0.05077024350750797
2017-11-22,6439.4419,70895924.0,2762.23057161,5958.008363642019,481.4335363579812,0.07476323939780888
2017-11-21,6456.352,67754580.0,2757.17895675,5950.1748742241925,506.1771257758073,0.07839986509034937
2017-11-20,6433.1702,70066705.0,2755.22947954,5947.151839112046,486.01836088795335,0.07554881120477014
2017-11-17,6361.9415,89018972.0,2759.258551,5953.399680548946,408.5418194510539,0.06421653192677958
2017-11-16,6558.3085,67940159.0,2792.49139846,6004.933529846021,553.3749701539791,0.08437769741298067
2017-11-15,6537.6563,73949181.0,2796.02684927,6010.415918601877,527.2403813981227,0.08064669618654055
2017-11-14,6614.5136,84749061.0,2791.74054747,6003.769192609803,610.744407390197,0.09233398618912765
2017-11-13,6671.2054,84596712.0,2783.47981871,5990.9593618688705,680.2460381311294,0.10196748523604586
2017-11-10,6641.2164,80012497.0,2766.81202529,5965.112778747911,676.1036212520894,0.10180418473520746
2017-11-09,6611.3517,68818466.0,2762.2552579,5958.046644428823,653.305055571177,0.09881565604370691
2017-11-08,6561.6897,73806798.0,2751.96369229,5942.087614983182,619.6020850168179,0.09442721514502857
2017-11-07,6551.9363,72377674.0,2733.21421536,5913.01298574256,638.9233142574403,0.09751671643349773
2017-11-06,6511.0958,66717600.0,2727.79389167,5904.607743172899,606.488056827101,0.09314684892627459
2017-11-03,6426.9799,68257102.0,2717.2296745,5888.22591563809,538.7539843619106,0.0838269284710087
2017-11-02,6484.9258,67552347.0,2724.16245698,5898.976513159527,585.9492868404732,0.09035558846956633
2017-11-01,6552.9545,64632776.0,2726.84766164,5903.140433583341,649.8140664166585,0.0991635248522874
2017-10-31,6560.2054,62261436.0,2721.94399735,5895.536369657479,664.6690303425212,0.10131832615218438
2017-10-30,6511.7616,83764175.0,2720.48718241,5893.277301075948,618.4842989240515,0.09497956726856394
2017-10-27,6630.8067,67921141.0,2763.84779754,5960.516179966102,670.2905200338982,0.10108732622742543
2017-10-26,6671.9288,74905894.0,2771.35073368,5972.150909153534,699.7778908464661,0.10488389666965063
2017-10-25,6647.892,58646902.0,2764.17442573,5961.022679083877,686.8693209161229,0.10332137178463834
2017-10-24,6603.0042,59171314.0,2763.77558843,5960.4042060103,642.5999939897001,0.09731933746001556
2017-10-23,6612.7637,60481953.0,2771.22043101,5971.948850086315,640.8148499136851,0.09690575362819709
2017-10-20,6571.424,60479316.0,2763.88634691,5960.575958094547,610.8480419054531,0.09295520147618737
2017-10-19,6501.3999,72615790.0,2769.57254226,5969.393485229208,532.0064147707926,0.08182951717380015
2017-10-18,6563.4369,73370966.0,2773.50325225,5975.488798503191,587.9481014968087,0.08957930280350661
2017-10-17,6612.9428,59419247.0,2782.8324865,5989.955550185401,622.9872498145987,0.09420726424771113
2017-10-16,6619.2056,85871048.0,2788.9104069,5999.380521497602,619.8250785023984,0.0936404027852524
2017-10-13,6709.8164,72925621.0,2784.65697141,5992.784760968796,717.0316390312037,0.10686307885133842
2017-10-12,6659.0957,77960962.0,2785.80756449,5994.5689743275325,664.5267256724674,0.09979233752001303
2017-10-11,6666.4696,90746053.0,2781.09167508,5987.25609105898,679.2135089410203,0.10188503806287819
2017-10-10,6705.4812,87005186.0,2775.1446716,5978.034131325425,727.4470686745753,0.10848543855056597
2017-10-09,6678.371,86419669.0,2753.05934116,5943.786626896532,734.5843731034684,0.10999454404426894
2017-09-29,6603.2587,70936294.0,2704.11233173,5867.884981377163,735.3737186228373,0.11136527463672402
2017-09-28,6567.7915,74625892.0,2752.79488603,5943.376538930652,624.4149610693485,0.09507228739970634
2017-09-27,6583.1401,75171272.0,2763.85098002,5960.521115006499,622.6189849935008,0.09457781173356783
2017-09-26,6520.7175,67765945.0,2768.36851394,5967.5264103700065,553.1910896299933,0.08483592329064911
2017-09-25,6489.8441,77829250.0,2773.84014516,5976.011215021188,513.8328849788122,0.07917491962230837
2017-09-22,6572.0096,85236469.0,2784.14124247,5991.985025180158,580.0245748198422,0.08825680577518362
2017-09-21,6612.0456,98937493.0,2788.41736029,5998.615958974731,613.4296410252691,0.09277456299231648
2017-09-20,6692.4724,101972486.0,2799.25222606,6015.41747862836,677.0549213716395,0.10116663631988075
2017-09-19,6636.0201,93518721.0,2780.71045891,5986.664942898171,649.3551571018288,0.0978531028111004
2017-09-18,6669.4548,88850597.0,2770.1780775,5970.332482762893,699.1223172371074,0.10482450787988058
2017-09-15,6622.0438,109384234.0,2749.7025118,5938.581224664224,683.4625753357768,0.1032102166608709
2017-09-14,6672.1849,113966782.0,2755.0677319,5946.901018639501,725.2838813604994,0.10870260525311573
2017-09-13,6684.3798,104722437.0,2745.98407078,5932.81507479171,751.5647252082899,0.1124359697826102
2017-09-12,6644.0118,141880275.0,2724.59699246,5899.65034304929,744.3614569507099,0.11203493903347822
2017-09-11,6649.6276,102547400.0,2708.43364078,5874.585992767079,775.0416072329208,0.1165541371418936
2017-09-08,6574.1826,93851593.0,2679.94203665,5830.40434281263,743.7782571873704,0.11313623342122721
2017-09-07,6558.5963,107061807.0,2680.23213434,5830.8541944437875,727.7421055562127,0.11096003965912837
2017-09-06,6607.1176,105478233.0,2672.36059085,5818.647869468556,788.4697305314439,0.1193364154032076
2017-09-05,6571.8591,95232077.0,2656.33374501,5793.795197448197,778.063902551803,0.11839327208822889
2017-09-04,6564.6804,119984025.0,2646.83910624,5779.071954605637,785.6084453943631,0.1196720019141165
2017-09-01,6526.5046,121117192.0,2627.19985731,5748.61756468661,777.8870353133898,0.11918892010179381
2017-08-31,6470.4259,91029169.0,2619.46585513,5736.6245236663635,733.8013763336367,0.11340851246494248
2017-08-30,6453.4636,95559661.0,2603.23622111,5711.457390012227,742.0062099877732,0.11497798019466217
2017-08-29,6408.1567,87704097.0,2597.27162002,5702.208141838136,705.9485581618637,0.11016405983983878
2017-08-28,6424.5841,94893401.0,2589.1080646,5689.54899683863,735.03510316137,0.11440975660375743
2017-08-25,6346.5305,75549727.0,2575.52588634,5668.487246760809,678.0432532391906,0.10683683837006544
2017-08-24,6278.59,67567586.0,2582.39851178,5679.144559352711,599.4454406472887,0.09547453180527614
2017-08-23,6322.7819,75609851.0,2576.27344384,5669.646476814517,653.135423185483,0.10329874310317157
2017-08-22,6375.9814,89100166.0,2578.494046,5673.089942716737,702.8914572832628,0.11024051250890769
2017-08-21,6403.7803,86521795.0,2566.88329225,5655.085261213049,748.695038786951,0.11691454167891284
2017-08-18,6347.7557,91174554.0,2553.02911826,5633.601730035185,714.1539699648147,0.11250495509220916
2017-08-17,6366.034000000001,98724886.0,2556.04392555,5638.276762011593,727.7572379884077,0.1143187796339774
2017-08-16,6318.7986,89617698.0,2545.51871907,5621.955427969609,696.8431720303906,0.11028095942643125
2017-08-15,6314.7608,82603663.0,2541.67599956,5615.996560666481,698.7642393335191,0.11065569408955586
2017-08-14,6292.6418,89845023.0,2529.15946984,5596.587301285706,696.0544987142939,0.11061403474678852
2017-08-11,6161.1903,117860616.0,2510.842941,5568.184040384809,593.0062596151911,0.09624865176055203
2017-08-10,6289.2174,112699470.0,2517.29552974,5578.190006202316,711.0273937976845,0.11305498738168669
2017-08-09,6340.022,115347648.0,2517.30644725,5578.206935877563,761.8150641224365,0.12015968779326579
2017-08-08,6303.715999999999,120380437.0,2498.23165113,5548.627837372578,755.0881626274213,0.11978461000264311
2017-08-07,6303.4209,108572316.0,2496.65946061,5546.189857015297,757.231042984703,0.12013017296444586
2017-08-04,6225.1151,125888386.0,2482.34815311,5523.99745340508,701.1176465949202,0.11262725834497746
2017-08-03,6261.9676,100159939.0,2498.15139873,5548.50339076618,713.4642092338199,0.11393610679713832
