证券代码,证券简称
000723.SZ,美锦能源
000725.SZ,京东方Ａ
000726.SZ,鲁  泰Ａ
000728.SZ,国元证券
000729.SZ,燕京啤酒
000731.SZ,四川美丰
000732.SZ,泰禾集团
000733.SZ,振华科技
000735.SZ,罗 牛 山
000738.SZ,航发控制
000739.SZ,普洛药业
000750.SZ,国海证券
000758.SZ,中色股份
000761.SZ,本钢板材
000762.SZ,西藏矿业
000766.SZ,通化金马
000767.SZ,晋控电力
000768.SZ,中航西飞
000776.SZ,广发证券
000777.SZ,中核科技
000778.SZ,新兴铸管
000783.SZ,长江证券
000786.SZ,北新建材
000789.SZ,万年青
000790.SZ,华神科技
000793.SZ,华闻集团
000799.SZ,酒鬼酒
000800.SZ,一汽解放
000801.SZ,四川九洲
000807.SZ,云铝股份
000810.SZ,创维数字
000811.SZ,冰轮环境
000812.SZ,陕西金叶
000813.SZ,德展健康
000818.SZ,航锦科技
000823.SZ,超声电子
000825.SZ,太钢不锈
000826.SZ,启迪环境
000828.SZ,东莞控股
000829.SZ,天音控股
000830.SZ,鲁西化工
000831.SZ,五矿稀土
000836.SZ,富通信息
000839.SZ,中信国安
000848.SZ,承德露露
000850.SZ,华茂股份
000851.SZ,高鸿股份
000852.SZ,石化机械
000858.SZ,五 粮 液
000859.SZ,国风塑业
000860.SZ,顺鑫农业
000861.SZ,海印股份
000869.SZ,张  裕Ａ
000875.SZ,吉电股份
000876.SZ,新 希 望
000877.SZ,天山股份
000878.SZ,云南铜业
000883.SZ,湖北能源
000885.SZ,城发环境
000887.SZ,中鼎股份
000889.SZ,中嘉博创
000895.SZ,双汇发展
000898.SZ,鞍钢股份
000899.SZ,赣能股份
000900.SZ,现代投资
000901.SZ,航天科技
000902.SZ,新洋丰
000903.SZ,云内动力
000905.SZ,厦门港务
000910.SZ,大亚圣象
000912.SZ,泸天化
000915.SZ,华特达因
000917.SZ,电广传媒
000918.SZ,嘉凯城
000921.SZ,海信家电
000926.SZ,福星股份
000928.SZ,中钢国际
000930.SZ,中粮科技
000931.SZ,中 关 村
000932.SZ,华菱钢铁
000933.SZ,神火股份
000935.SZ,四川双马
000936.SZ,华西股份
000937.SZ,冀中能源
000938.SZ,紫光股份
000951.SZ,中国重汽
000957.SZ,中通客车
000958.SZ,东方能源
000959.SZ,首钢股份
000960.SZ,锡业股份
