日期,主力净流入净额,主力净流入净占比,超大单净流入净额,超大单净流入净占比,大单净流入净额,大单净流入净占比,中单净流入净额,中单净流入净占比,小单净流入净额,小单净流入净占比
2021-04-06,-14.78亿,-1.27%,-6.18亿,-0.53%,-8.60亿,-0.74%,2.24亿,0.19%,12.53亿,1.08%
2021-04-09,-44.89亿,-3.52%,-19.69亿,-1.54%,-25.20亿,-1.98%,-1.22亿,-0.10%,46.11亿,3.62%
2021-04-08,-49.65亿,-3.37%,-24.98亿,-1.69%,-24.66亿,-1.67%,11.44亿,0.78%,38.20亿,2.59%
2021-04-07,-12.29亿,-0.88%,-2.97亿,-0.21%,-9.32亿,-0.67%,1.87亿,0.13%,10.42亿,0.75%
2021-04-12,-111.94亿,-7.88%,-52.93亿,-3.73%,-59.01亿,-4.15%,3.53亿,0.25%,108.40亿,7.63%
2021-04-13,-58.43亿,-5.04%,-29.06亿,-2.50%,-29.38亿,-2.53%,2.67亿,0.23%,55.76亿,4.81%
2021-04-14,11.48亿,1.07%,7.67亿,0.71%,3.81亿,0.36%,-9.60亿,-0.90%,-1.88亿,-0.17%
2021-04-16,-4.05亿,-0.34%,4.38亿,0.36%,-8.43亿,-0.70%,-17.44亿,-1.45%,21.49亿,1.79%
2021-04-15,-40.01亿,-3.59%,-14.03亿,-1.26%,-25.98亿,-2.33%,-1961.40万,-0.02%,40.21亿,3.60%
2021-04-19,30.19亿,2.09%,25.27亿,1.75%,4.92亿,0.34%,-15.72亿,-1.09%,-14.47亿,-1.00%
2021-04-20,-33.85亿,-2.36%,-12.21亿,-0.85%,-21.65亿,-1.51%,2.27亿,0.16%,31.59亿,2.20%
2021-04-22,-15.67亿,-1.19%,5.43亿,0.41%,-21.10亿,-1.60%,-5469.39万,-0.04%,16.21亿,1.23%
2021-04-21,-65.72亿,-5.12%,-37.89亿,-2.95%,-27.83亿,-2.17%,12.48亿,0.97%,53.24亿,4.15%
2021-04-23,-38.02亿,-2.81%,-9.51亿,-0.70%,-28.52亿,-2.11%,-3.51亿,-0.26%,41.53亿,3.07%
2021-04-26,-39.65亿,-2.38%,-24.34亿,-1.46%,-15.31亿,-0.92%,1.94亿,0.12%,37.71亿,2.26%
2021-04-28,-26.24亿,-1.92%,-4.81亿,-0.35%,-21.44亿,-1.57%,3.74亿,0.27%,22.51亿,1.65%
2021-04-27,-69.66亿,-5.04%,-32.54亿,-2.35%,-37.12亿,-2.68%,1.98亿,0.14%,67.69亿,4.89%
2021-04-30,-46.93亿,-2.87%,-20.91亿,-1.28%,-26.02亿,-1.59%,-6.90亿,-0.42%,53.83亿,3.29%
2021-04-29,-36.56亿,-2.51%,-13.12亿,-0.90%,-23.44亿,-1.61%,7277.47万,0.05%,35.84亿,2.46%
2021-05-07,-58.57亿,-3.29%,-27.87亿,-1.57%,-30.70亿,-1.73%,-1.26亿,-0.07%,59.83亿,3.36%
2021-05-06,-34.14亿,-2.04%,-12.92亿,-0.77%,-21.22亿,-1.27%,8.31亿,0.50%,25.83亿,1.54%
2021-05-10,-26.63亿,-1.47%,1.23亿,0.07%,-27.86亿,-1.54%,-2.97亿,-0.16%,29.60亿,1.64%
2021-05-11,-83.22亿,-4.75%,-49.88亿,-2.84%,-33.34亿,-1.90%,14.08亿,0.80%,69.14亿,3.94%
2021-05-12,-5.21亿,-0.35%,9.69亿,0.65%,-14.90亿,-0.99%,-7.94亿,-0.53%,13.15亿,0.88%
2021-05-13,-106.62亿,-6.84%,-63.07亿,-4.05%,-43.55亿,-2.79%,17.31亿,1.11%,89.31亿,5.73%
2021-05-14,-14.39亿,-0.88%,6.75亿,0.41%,-21.14亿,-1.29%,-9.56亿,-0.58%,23.95亿,1.46%
