172,2019-06-20,2.14亿,833.65万,809.03万,24.62万,54.65,50.14,0.00,50.14,2.17亿
173,2019-06-19,2.13亿,785.97万,485.49万,300.48万,4.51,0.00,2.70,-2.70,2.14亿
174,2019-06-18,2.10亿,289.52万,168.63万,120.89万,7.21,0.00,0.00,0.00,2.11亿
175,2019-06-17,2.09亿,379.83万,802.39万,-422.56万,7.21,0.20,3.00,-2.80,2.10亿
176,2019-06-14,2.13亿,430.30万,334.75万,95.55万,10.01,0.00,5.00,-5.00,2.14亿
177,2019-06-13,2.12亿,296.82万,640.64万,-343.83万,15.01,7.50,8.36,-0.86,2.13亿
178,2019-06-12,2.16亿,465.85万,607.11万,-141.26万,15.87,11.36,0.00,11.36,2.17亿
179,2019-06-11,2.17亿,738.02万,508.71万,229.31万,4.51,0.00,10.67,-10.67,2.17亿
180,2019-06-10,2.15亿,440.34万,492.28万,-51.94万,15.18,10.67,15.56,-4.89,2.16亿
181,2019-06-06,2.15亿,375.86万,821.04万,-445.18万,20.07,5.92,12.50,-6.58,2.17亿
182,2019-06-05,2.20亿,1149.91万,814.82万,335.09万,26.65,16.50,6.42,10.08,2.21亿
183,2019-06-04,2.17亿,381.80万,487.08万,-105.28万,16.57,0.00,5.25,-5.25,2.17亿
184,2019-06-03,2.18亿,336.42万,397.02万,-60.59万,21.82,2.17,0.00,2.17,2.19亿
185,2019-05-31,2.18亿,772.04万,1295.96万,-523.92万,19.65,2.00,19.00,-17.00,2.19亿
186,2019-05-30,2.23亿,1378.04万,1109.12万,268.92万,36.65,21.22,11.00,10.22,2.26亿
187,2019-05-29,2.21亿,370.73万,256.75万,113.97万,26.43,21.42,3.00,18.42,2.22亿
188,2019-05-28,2.20亿,323.08万,423.24万,-100.16万,8.01,0.00,4.00,-4.00,2.20亿
189,2019-05-27,2.21亿,417.63万,506.93万,-89.30万,12.01,1.00,25.53,-24.53,2.21亿
190,2019-05-24,2.22亿,285.28万,538.67万,-253.38万,36.54,31.03,5.00,26.03,2.23亿
191,2019-05-23,2.24亿,263.41万,315.70万,-52.29万,10.51,3.00,8.50,-5.50,2.25亿
192,2019-05-22,2.25亿,422.84万,322.95万,99.89万,16.01,0.00,6.00,-6.00,2.25亿
193,2019-05-21,2.24亿,452.04万,430.01万,22.03万,22.01,16.50,2.00,14.50,2.25亿
194,2019-05-20,2.23亿,164.36万,192.10万,-27.74万,7.51,0.00,1.00,-1.00,2.24亿
195,2019-05-17,2.24亿,280.00万,625.87万,-345.87万,8.51,1.00,6.00,-5.00,2.24亿
196,2019-05-16,2.27亿,922.91万,642.94万,279.97万,13.51,7.00,8.00,-1.00,2.28亿
197,2019-05-15,2.24亿,287.61万,367.75万,-80.15万,14.51,4.00,8.00,-4.00,2.25亿
198,2019-05-14,2.25亿,508.55万,346.23万,162.32万,18.51,0.00,25.34,-25.34,2.26亿
199,2019-05-13,2.23亿,455.30万,774.96万,-319.66万,43.85,39.34,6.00,33.34,2.26亿
200,2019-05-10,2.27亿,285.08万,434.58万,-149.49万,10.51,6.00,0.96,5.04,2.27亿
201,2019-05-09,2.28亿,158.52万,164.81万,-6.29万,5.47,0.96,0.00,0.96,2.28亿
202,2019-05-08,2.28亿,395.63万,519.08万,-123.45万,4.51,1.00,0.60,0.40,2.28亿
203,2019-05-07,2.29亿,193.19万,254.16万,-60.97万,4.11,0.60,2.00,-1.40,2.30亿
204,2019-05-06,2.30亿,467.47万,643.08万,-175.60万,5.51,2.00,0.00,2.00,2.30亿
